head,rel,tail
大一机械,适合,天津博物馆志愿服务
大一机械,适合,金月湾花园社区磁悬巧思·科技光影科普活动
大一机械,适合,天津自然博物馆科技类讲解志愿服务
大一机械,适合,全国大学生先进成图技术与产品信息建模创新大赛
大一机械,需要,CAD 二维绘图（AutoCAD / 中望 CAD）
大二机械,适合,南开区职业技能大赛志愿服务
大二机械,适合,无人机科普志愿服务
大二机械,适合,户外运动航天科技馆志愿服务活动
大二机械,适合,迪空间科普馆公益讲解
大二机械,适合,天津海洋博物馆机械类讲解志愿服务
大二机械,适合,天津科学技术馆科普志愿服务
大二机械,适合,全国大学生机械创新设计大赛
大二机械,适合,全国大学生金相技能大赛
大二机械,需要,SolidWorks 三维建模
大二机械,需要,金相图像分析软件（Image-Pro）
大三机械,适合,天津市机械工程学会志愿服务
大三机械,适合,全国大学生智能汽车竞赛
大三机械,适合,"西门子杯" 中国智能制造挑战赛
大三机械,适合,全国大学生电子设计竞赛
大三机械,需要,PLC 编程软件（西门子 TIA Portal）
大三机械,需要,单片机 / 嵌入式开发软件（Keil MDK）
大四机械,适合,天津市机械工程学会志愿服务
大四机械,适合,全国大学生机器人大赛（ROBOCON）
大四机械,适合,全国大学生节能减排社会实践与科技竞赛
大四机械,适合,全国大学生结构设计竞赛
大四机械,适合,中国大学生机械工程创新创意大赛
大四机械,需要,ANSYS 有限元分析
大四机械,需要,UG/NX 三维建模
天津科学技术馆科普志愿服务,需要,普通话标准
天津科学技术馆科普志愿服务,需要,基础机械相关专业知识
天津自然博物馆科技类讲解志愿服务,需要,普通话标准
天津自然博物馆科技类讲解志愿服务,需要,基础机械相关专业知识
天津市机械工程学会志愿服务,需要,普通话标准
天津市机械工程学会志愿服务,需要,基础机械相关专业知识
天津海洋博物馆机械类讲解志愿服务,需要,普通话标准
天津海洋博物馆机械类讲解志愿服务,需要,基础机械相关专业知识
天津博物馆志愿服务,需要,普通话标准
南开区职业技能大赛志愿服务,需要,普通话标准
南开区职业技能大赛志愿服务,需要,基础机械相关专业知识
无人机科普志愿服务,需要,普通话标准
无人机科普志愿服务,需要,无人机知识
无人机科普志愿服务,需要,基础机械相关专业知识
户外运动航天科技馆志愿服务活动,需要,普通话标准
户外运动航天科技馆志愿服务活动,需要,基础机械相关专业知识
金月湾花园社区磁悬巧思·科技光影科普活动,需要,普通话标准
金月湾花园社区磁悬巧思·科技光影科普活动,需要,基础机械相关专业知识
迪空间科普馆公益讲解,需要,普通话标准
迪空间科普馆公益讲解,需要,基础机械相关专业知识
全国大学生机械创新设计大赛,需要,UG/NX 三维建模
全国大学生机械创新设计大赛,需要,CAD 二维绘图（AutoCAD / 中望 CAD）
全国大学生智能汽车竞赛,需要,MATLAB 数据处理与仿真
全国大学生智能汽车竞赛,需要,单片机 / 嵌入式开发软件（Keil MDK）
全国大学生先进成图技术与产品信息建模创新大赛,需要,CAD 二维绘图（AutoCAD / 中望 CAD）
全国大学生先进成图技术与产品信息建模创新大赛,需要,SolidWorks 三维建模
"西门子杯" 中国智能制造挑战赛,需要,RobotStudio 机器人仿真
"西门子杯" 中国智能制造挑战赛,需要,PLC 编程软件（西门子 TIA Portal）
全国大学生金相技能大赛,需要,金相图像分析软件（Image-Pro）
全国大学生金相技能大赛,需要,MATLAB 数据处理与仿真
中国大学生机械工程创新创意大赛,需要,SolidWorks 三维建模
中国大学生机械工程创新创意大赛,需要,ANSYS 有限元分析
全国大学生机器人大赛（ROBOCON）,需要,PLC 编程软件（西门子 TIA Portal）
全国大学生机器人大赛（ROBOCON）,需要,RobotStudio 机器人仿真
全国大学生电子设计竞赛,需要,Altium Designer 电路设计
全国大学生电子设计竞赛,需要,单片机 / 嵌入式开发软件（Keil MDK）
全国大学生节能减排社会实践与科技竞赛,需要,MATLAB 数据处理与仿真
全国大学生节能减排社会实践与科技竞赛,需要,ANSYS 有限元分析
全国大学生结构设计竞赛,需要,ANSYS 有限元分析
全国大学生结构设计竞赛,需要,SolidWorks 三维建模
